Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,30.00020368,12/08/2010 12:41:50,30.00020425,1,1,0,3.687361479,0,0,0,0,3.23772E-05,0,0,0,0
2,60.01522951,12/08/2010 12:42:20,60.01523009,1,1,0,3.687361479,0,0,0,0,-3.24249E-05,0,0,0,0
3,90.03036374,12/08/2010 12:42:50,90.03036433,1,1,0,3.687361479,0,0,0,0,3.23772E-05,0,0,0,0
4,120.0139258,12/08/2010 12:43:20,120.0139265,1,1,0,3.687361479,0,0,0,0,0,0,0,0,0
5,150.0294041,12/08/2010 12:43:50,30.01506143,2,1,0.550024807,3.790064335,0.004585313,0,0.01732741,0,0.000485992,0,0,0,0
6,180.0444845,12/08/2010 12:44:20,60.03014177,2,1,0.550024807,3.802861691,0.00917071,0,0.034738558,0,0.000259209,0,0,0,0
7,210.0595709,12/08/2010 12:44:50,90.04522821,2,1,0.550024807,3.810961246,0.013755949,0,0.05219537,0,0.000194407,0,0,0,0
8,240.075684,12/08/2010 12:45:20,120.0613414,2,1,0.550024807,3.816954851,0.018341363,0,0.069684254,0,0.000161982,0,0,0,0
9,270.0774206,12/08/2010 12:45:50,150.0630781,2,1,0.550024807,3.821814537,0.022924537,0,0.087189118,0,0.000129604,0,0,0,0
10,300.0892146,12/08/2010 12:46:20,180.074872,2,1,0.550024807,3.826188326,0.027509229,0,0.104720387,0,0.000161982,0,0,0,0
11,330.1039994,12/08/2010 12:46:50,210.0896567,2,1,0.550024807,3.829914093,0.032094345,0,0.122271851,0,0.000129557,0,0,0,0
12,360.119008,12/08/2010 12:47:20,240.1046653,2,1,0.549844861,3.833477974,0.036679525,0,0.139840743,0,9.71794E-05,0,0,0,0
13,390.1340596,12/08/2010 12:47:50,270.1197169,2,1,0.550024807,3.837041855,0.041264751,0,0.157426047,0,0.000129604,0,0,0,0
14,420.1490718,12/08/2010 12:48:20,300.1347291,2,1,0.550204754,3.840281725,0.045849928,0,0.175026742,0,6.48022E-05,0,0,0,0
15,450.1642232,12/08/2010 12:48:50,330.1498805,2,1,0.550024807,3.843683481,0.050435235,0,0.19264296,0,0.000129604,0,0,0,0
16,480.1791635,12/08/2010 12:49:20,360.1648208,2,1,0.550024807,3.84659934,0.055020691,0,0.210274459,0,3.24249E-05,0,0,0,0
17,510.1942195,12/08/2010 12:49:50,390.1798768,2,1,0.550204754,3.849839211,0.059606152,0,0.227920308,0,9.72271E-05,0,0,0,0
18,540.2092171,12/08/2010 12:50:20,420.1948744,2,1,0.550024807,3.852916956,0.064191559,0,0.245580143,0,9.71794E-05,0,0,0,0
19,570.2241861,12/08/2010 12:50:50,450.2098434,2,1,0.549844861,3.855832815,0.068776808,0,0.263253425,0,6.48022E-05,0,0,0,0
20,600.2392068,12/08/2010 12:51:20,480.2248641,2,1,0.550024807,3.859072685,0.07336206,0,0.280940535,0,9.71794E-05,0,0,0,0
21,630.254433,12/08/2010 12:51:50,510.2400903,2,1,0.549844861,3.86182642,0.077947424,0,0.29864199,0,3.23772E-05,0,0,0,0
22,660.2692828,12/08/2010 12:52:20,540.2549401,2,1,0.549844861,3.864742279,0.082532765,0,0.31635709,0,3.23772E-05,0,0,0,0
23,690.2843127,12/08/2010 12:52:50,570.26997,2,1,0.550024807,3.867820263,0.087118285,0,0.334086367,0,9.72271E-05,0,0,0,0
24,720.2994802,12/08/2010 12:53:20,600.2851376,2,1,0.549844861,3.870736122,0.091703775,0,0.351828833,0,6.48022E-05,0,0,0,0
25,750.3149213,12/08/2010 12:53:50,630.3005788,2,1,0.550024807,3.873489857,0.096289322,0,0.369584636,0,6.48022E-05,0,0,0,0
26,780.3294506,12/08/2010 12:54:20,660.3151079,2,1,0.550024807,3.87624383,0.100874784,0,0.387352966,0,3.24249E-05,0,0,0,0
27,810.3445246,12/08/2010 12:54:50,690.3301819,2,1,0.550024807,3.878835678,0.105460351,0,0.405134068,0,3.24249E-05,0,0,0,0
28,840.359683,12/08/2010 12:55:20,720.3453403,2,1,0.550024807,3.881589413,0.110045874,0,0.42292715,0,6.48022E-05,0,0,0,0
29,870.3746615,12/08/2010 12:55:50,750.3603189,2,1,0.550204754,3.884181261,0.114631346,0,0.440731767,0,0.000129557,0,0,0,0
30,900.3895226,12/08/2010 12:56:20,780.3751799,2,1,0.550024807,3.886611223,0.11921688,0,0.458548038,0,6.48022E-05,0,0,0,0
31,930.4045495,12/08/2010 12:56:50,810.3902068,2,1,0.549844861,3.888879061,0.123802376,0,0.476375088,0,9.71794E-05,0,0,0,0
32,960.419629,12/08/2010 12:57:20,840.4052863,2,1,0.549844861,3.891146898,0.128387872,0,0.494212771,0,3.23772E-05,0,0,0,0
33,990.4346316,12/08/2010 12:57:50,870.4202889,2,1,0.550024807,3.89357686,0.132973462,0,0.512061162,0,9.71794E-05,0,0,0,0
34,1020.44962,12/08/2010 12:58:20,900.4352769,2,1,0.550024807,3.895520687,0.137559083,0,0.529919663,0,6.48022E-05,0,0,0,0
35,1050.464824,12/08/2010 12:58:50,930.4504815,2,1,0.549844861,3.897464752,0.142144779,0,0.547788038,0,3.24249E-05,0,0,0,0
